,,,,,,,,,,,,,,,
// FACES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
_property,id,name,metaCategory,category,animalImage,rarity,sort,civ,,reward,colors[0],colors[1],colors[2],colors[3],description
//,rr,Jiibayaabooz,,,,legendary,,,,,,,,,A trickster rabbit from the stories of the Ojibwe people
//,rs,Kaltes-Ekwa,,,,legendary,,,,,,,,,A goddess shapeshifter (often appearing as a rabbit) from Ugrian mythology
//,rt,Blupee,,,,,,,,,,"Glowy blue, bone-colored ears",,,A rabbit-like creature from The Breath of the Wild
//,ru,Woundwort,,,,epic,,,,wwwwww,,,,,"The fearless, intelligent, power-wielding leader of the Efrafa warren in Watership Down"
//,rv,El-ahrairah,,,,legendary,,,,,,,,,The legendary trickster rabbit hero of the rabbits in Watership Down
//,rw,WhaleBunny,,,,,,,,,,,,,A friendly whale who loves to be a bunny from time to time
//,rx,Uncle Wiggily,,,,,,,,,,,,,The main character in the series of children's stories by Howard R. Garis
//,ry,Foo Foo,,,,,,,,,,,,,Little Bunny Foo Foo is the main character of a children's song about a violent rabbit who scoops up field mice and bops them on the head
//,rz,Bun-Bun,,,,,,,,,,,,,A rabbit with a switchblade in the online comic Sluggy Freelance
//,rA,Bean Bunny,,,,,,,,,,,,,The adorable rabbit from the world of the Muppets
//,rB,Aplíkmuj,,,,legendary,,,,,,,,,A light-hearted trickster from Mi'kmaq folklore
//,rC,Moskim,,,,legendary,,,,,,,,,A benevolent rabbit hero of Lenape folklore
//,rD,Victory,,,,epic,,,,,,,,,The clever rabbit who outsmarted an elephant king
//,rE,Bodhisattva Rabbit,,,,epic,,,,,,,,,"Once, the Buddha was born as a rabbit offered to sacrifice himself to feed a hungry traveler who turned out to be the god Sakra"
// extras,,,,,,,,,,,,,,,
//,,reader rabbit,,,,,,,,,,,,,
//,,basil staghare,,,,,,,,,,,,,
//,,Judy Hops,,,,,,,,,,,,,
//,,Edward Tulane,,,,,,,,,,,,,kids book
//,,Alec,,,,,,,,,,,,,from the short film presto
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"// birds, a work in progress",,,,,,,,,,//fmpws,// beak,// left side,// right side,,
,b1,Alex,,bird,,rare,,,,spspsp,darkgray,gray,lightgray,,A smart grey parrot who could count and sort materials
,b2,Bubi,,bird,,rare,,,,fmmmmw,darkgray,rosybrown,saddlebrown,,"An eagle-owl who lives near a stadium in Helsinki.  When he appears, it's a good omen for the Finland national football team."
,b3,Cher Ami,,bird,,epic,,,,wsffww,darkcyan,dimgray,lightgray,,A homing pigeon who helped save a trapped infantry division in World War I
,b4,Winkie,,bird,,rare,,,,wfffww,darkturquoise,lightgray,dimgray,,A homing pigeon who helped save a flight crew stranded in the North Sea during World War II
,b5,Gertie,,bird,,common,,,,mfppfp,greenyellow,darkturquoise,powderblue,,"The story of her heroic efforts to raise her family under the Wisconsin Avenue bridge inspired locals and was immortalized in books, toys, and sculpture"
,b6,Greater,,bird,,rare,,,,ssfpfs,dimgray,pink,violet,,"The oldest flamingo on record, living over 83 years"
,b7,Jimmy,,bird,,common,,,,mmppmm,dimgray,silver,midnightblue,,An acting raven who appeared in more than 1000 films including It's a Wonderful Life and The Wizard of Oz
,b8,Martha,,bird,,rare,,,,fswssf,darkseagreen,steelblue,darkslateblue,,The last American Passenger Pigeon before the species went extinct
,b9,Nils Olav,,bird,,rare,,,,wpmppw,darkgoldenrod,orangered,dimgray,,The king penguin mascot and colonel-in-chief of the Norwegian King's Guard
,ba,Old Abe,,bird,,rare,,,,wmwmww,gold,white,mistyrose,,A bald eagle mascot of an infantry regiment in the American Civil War
,bb,Pale Male,,bird,,rare,,,,fpmffm,silver,darkgoldenrod,moccasin,,A red-tailed hawk living near Central Park in New York City
,bc,Nigel,,bird,,common,,,,fpmfww,orangered,peachpuff,lightyellow,,The friendly pelican and dentistry enthusiast
,bd,Louis,,bird,,epic,,,,mmppfm,darkgoldenrod,whitesmoke,snow,,The hero of E. B. White's novel The Trumpet of the Swan
,be,Jonathan,,bird,,rare,,,,pppppm,khaki,lightcyan,azure,,The title character from the novella Jonathan Livingston Seagull
,bf,Moses,,bird,,epic,,,,smpfws,lightgray,darkslategray,black,,A raven character from George Orwell's Animal Farm who preached of the happy place animals go after death
,bg,Quoth,,bird,,epic,,,,smffms,dimgray,midnightblue,#202020,,A raven with a taste for eyeballs who appears in several of Terry Pratchett's Discworld books
,bh,Captain Flint,,bird,,legendary,,,,smmmmmm,lightcoral,red,gold,,Long John Silver's parrot in Treasure Island
,bi,Fawkes,,bird,,epic,,,,sssssw,darkgray,orange,maroon,,Dumbledore's pet phoenix
,bj,Hedwig,,bird,,common,,,,sssssf,dimgray,snow,azure,,Harry's snowy owl
,bk,Opus,,bird,,epic,,,,fmpfmp,orange,dimgray,indigo,,The bow-tie wearing penguin appearing in several comic creations by Berke Breathed
,bl,Woodstock,,bird,,common,,,,spspff,gold,gold,gold,,The loyal companion of Snoopy from the Peanuts comic strip
,bm,Huginn and Munnin,,bird,,legendary,,,,swwswws,dimgray,darkgreen,#208040,,A pair of ravens who bring information to the Norse god Odin
,bn,Camilla,,bird,,common,,,,fffffw,orangered,red,floralwhite,,Gonzo's love interest
,bo,Big Bird,,bird,,epic,,,,fssssf,gold,yellow,khaki,,A long-time denizen of Sesame Street
,bp,The Shangyang,,bird,,legendary,,,,ssfsspm,darkolivegreen,greenyellow,lime,,A legendary Chinese bird that could predict rain
,bq,The Fenghuang,,bird,,legendary,,,,wpmmmpw,#202020,crimson,maroon,,The legendary phoenix ruler of birds associated with Chinese empresses
,br,The Goofus,,bird,,legendary,,,,pppmppp,red,pink,slateblue,,The Goofus Bird flies backwards and builds its nest upside down.
,bs,Keehar,,bird,,epic,,,,fpwppp,gold,lightcyan,lightsteelblue,,A seabird befriended by the rabbits of Watership Down
,bt,Rooster of Barcelos,,bird,,common,,,,fwsmmm,yellow,red,#202020,,A miraculous bird from stories in Portugal
,bu,Archimedes,,bird,,legendary,,,,wsssssw,silver,tan,sienna,,the familiar of Merlyn from The Once and Future King by T. H. White
,bv,Chil,,bird,,rare,,,,swfpps,rosybrown,peru,slategray,,A kite bird that helps Mowgli escape the Bandar-Log in The Jungle Book
,bw,Owl,,bird,,common,,,,sfsmps,darkgoldenrod,saddlebrown,wheat,,The excellent speller and knowledgeable friend of Winnie the Pooh
,bx,Gwaihir,,bird,,legendary,,,,wwswsww,silver,darkgoldenrod,sienna,,The giant eagle who rescues Gandalf more than once in The Lord of the Rings
,by,Simon,,bird,,epic,,,,mmmmmm,snow,mistyrose,khaki,,The cockatoo who dances to beatboxing from his friend Dwayne
,bz,Marahute,,bird,,epic,,,,sfmmmp,gold,peachpuff,goldenrod,,The huge golden eagle from The Rescuers Down Under
,bA,Woodsy,,bird,,common,,,,ssspps,sandybrown,gold,sienna,,An anti-pollution spokesbird for the US Forest Service
,bB,Sam the Eagle,,bird,,common,,,,fmfmfm,lightsteelblue,lightsteelblue,lightsteelblue,,The Muppet defender of conservative values and fierce opponent of namby-pamby weirdos
,bC,Garuda,,bird,,legendary,,,,mmwspmm,snow,gold,silver,,The legendary bird creature appearing in several world religions and national insignias
,bD,The Roc,,bird,,legendary,,,,wwpspww,darkgray,#402015,#803010,,The enormous bird of prey appearing in several stories in Middle Eastern mythology
,bE,Wisdom,,bird,,legendary,,,,spmpsps,wheat,ivory,silver,,The oldest confirmed wild bird in the world
// extras,,,,,,,,,,,,,,,
//,,Tweety,,Review – are any of these better than the above? Or less lawyer-bait?,,,,,,,,,,,
//,,the owl from secret of nimh or the crow,,,,,,,,,,,,,
//,,zazu,,,,,,,,,,,,,
//,,roadrunner,,,,,,,,,,,,,
//,,st. luis cardinal,,,,,,,,,,,,,
//,,falco,,,,,,,,,,,,,
//,,sparrow from redwall,,,,,,,,,,,,,
//,,blue from rio,,,,,,,,,,,,,
//,,hewey from pebble,,,,,,,,,,,,,
//,,albatros from rescuers,,,,,,,,,,,,,
//,,the albatros from ancient mariner,,,,,,,,,,,,,
//,,Jeremy (secret of nimh),,,,,,,,,,,,,
//,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
// extras,,The Vermillion Bird,,,,,,,,,,,,,The symbol of Fire in the Taoist five-element system
//,,Blitz,,,,,,,,,,,,,The mascot of the Seattle Seahawks
// too many muppets?,,,,,,,,,,,,,,,
//,,condorito,,,,,,,,,,,,,
//,,disney birds,,,,,,,,,,,,,
//,,foghorn leghorn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"// bears would work, especially counting stuffed bears, toy bears",,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,
